t=2019-11-26T23:09:44-0800 lvl=info msg="no configuration paths supplied"
t=2019-11-26T23:09:44-0800 lvl=info msg="using configuration at default config path" path=/home/pi/.ngrok2/ngrok.yml
t=2019-11-26T23:09:44-0800 lvl=info msg="open config file" path=/home/pi/.ngrok2/ngrok.yml err=nil
t=2019-11-26T23:09:44-0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2019-11-26T23:09:45-0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2019-11-26T23:09:45-0800 lvl=info msg="client session established" obj=csess id=892ed20e5f80
t=2019-11-26T23:09:45-0800 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://localhost:3000 url=http://0157fd93.ngrok.io
t=2019-11-26T23:09:45-0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://0157fd93.ngrok.io
t=2019-11-27T12:36:24-0800 lvl=info msg="join connections" obj=join id=88b2acba81ed l=[::1]:3000 r=18.209.60.34:54116
t=2019-11-27T12:36:43-0800 lvl=info msg="join connections" obj=join id=1dda040c4c36 l=[::1]:3000 r=3.81.137.80:38156
t=2019-11-27T12:36:49-0800 lvl=info msg="join connections" obj=join id=5ea5cd01af6c l=[::1]:3000 r=100.24.27.192:26978
t=2019-11-27T12:37:06-0800 lvl=info msg="join connections" obj=join id=3fa0ca177dea l=[::1]:3000 r=18.212.159.231:44002
t=2019-11-27T12:37:12-0800 lvl=info msg="join connections" obj=join id=e4cea962b23f l=[::1]:3000 r=107.20.90.166:62584
t=2019-11-27T12:37:18-0800 lvl=info msg="join connections" obj=join id=9ac0edabcc15 l=[::1]:3000 r=54.147.51.38:56556
t=2019-11-27T12:37:27-0800 lvl=info msg="join connections" obj=join id=e9d0b1c23abb l=[::1]:3000 r=54.82.2.204:32076
t=2019-11-27T12:37:37-0800 lvl=info msg="join connections" obj=join id=1b865fac574e l=[::1]:3000 r=18.209.60.34:54384
t=2019-11-27T12:37:43-0800 lvl=info msg="join connections" obj=join id=d2e65e8f11fe l=[::1]:3000 r=54.80.92.90:64154
t=2019-11-27T12:37:53-0800 lvl=info msg="join connections" obj=join id=564647f84e20 l=[::1]:3000 r=174.129.62.2:29270
t=2019-11-27T12:45:44-0800 lvl=info msg="join connections" obj=join id=1629f3da61d8 l=[::1]:3000 r=3.208.29.62:62430
t=2019-11-27T14:53:04-0800 lvl=info msg="join connections" obj=join id=9b01b51b666d l=[::1]:3000 r=100.26.104.3:51374
t=2019-11-27T14:53:04-0800 lvl=info msg="join connections" obj=join id=587cd0a4ffac l=[::1]:3000 r=3.81.114.189:63308
t=2019-11-27T14:53:15-0800 lvl=info msg="join connections" obj=join id=9cdfff36b3c1 l=[::1]:3000 r=52.4.92.79:65282
t=2019-11-27T15:29:32-0800 lvl=info msg="join connections" obj=join id=0f8c56ec2fbd l=[::1]:3000 r=100.24.27.192:17176
t=2019-11-27T15:30:08-0800 lvl=info msg="join connections" obj=join id=449a93328dc1 l=[::1]:3000 r=54.210.143.156:58882
t=2019-11-27T15:30:45-0800 lvl=info msg="join connections" obj=join id=fb0f8da4db97 l=[::1]:3000 r=54.83.135.129:34054
t=2019-11-27T15:30:51-0800 lvl=info msg="join connections" obj=join id=541d19851165 l=[::1]:3000 r=54.236.20.156:55368
t=2019-11-27T15:30:59-0800 lvl=info msg="join connections" obj=join id=d3535d391a29 l=[::1]:3000 r=52.4.92.79:63294
t=2019-11-27T15:31:09-0800 lvl=info msg="join connections" obj=join id=720d75b6d9c8 l=[::1]:3000 r=54.236.20.156:57900
t=2019-11-27T15:31:23-0800 lvl=info msg="join connections" obj=join id=848d78db1b1c l=[::1]:3000 r=54.83.135.129:41944
t=2019-11-27T15:31:26-0800 lvl=info msg="join connections" obj=join id=c4ac3f13574c l=[::1]:3000 r=54.144.233.101:41748
t=2019-11-27T15:31:41-0800 lvl=info msg="join connections" obj=join id=e3a3d3fd5abf l=[::1]:3000 r=54.90.136.152:50092
t=2019-11-27T15:31:47-0800 lvl=info msg="join connections" obj=join id=57943258daa5 l=[::1]:3000 r=174.129.62.2:26022
t=2019-11-27T15:32:25-0800 lvl=info msg="join connections" obj=join id=bd8e43f9e55c l=[::1]:3000 r=54.144.233.101:30302
t=2019-11-27T15:32:35-0800 lvl=info msg="join connections" obj=join id=7132f5bc0c85 l=[::1]:3000 r=100.24.27.192:44604
t=2019-11-27T15:32:55-0800 lvl=info msg="join connections" obj=join id=6f6984b9144c l=[::1]:3000 r=54.82.2.204:43374
t=2019-11-27T15:33:02-0800 lvl=info msg="join connections" obj=join id=960a08ca2a47 l=[::1]:3000 r=107.20.90.166:58026
t=2019-11-27T16:39:22-0800 lvl=info msg="join connections" obj=join id=2ee45436cd6a l=[::1]:3000 r=18.212.159.231:32262
t=2019-11-27T16:54:47-0800 lvl=info msg="join connections" obj=join id=be3fccd5d42c l=[::1]:3000 r=34.201.116.181:23704
t=2019-11-27T16:55:38-0800 lvl=info msg="join connections" obj=join id=23951880915a l=[::1]:3000 r=100.26.104.3:51282
t=2019-11-27T16:55:53-0800 lvl=info msg="join connections" obj=join id=ceee3a261ccb l=[::1]:3000 r=35.153.100.34:50426
t=2019-11-27T16:56:45-0800 lvl=info msg="join connections" obj=join id=37a93c08c929 l=[::1]:3000 r=3.88.8.76:30090
t=2019-11-27T16:57:01-0800 lvl=info msg="join connections" obj=join id=244d39066eee l=[::1]:3000 r=34.201.116.181:50808
t=2019-11-27T16:57:07-0800 lvl=info msg="join connections" obj=join id=3670ee9156b6 l=[::1]:3000 r=18.209.159.98:31636
t=2019-11-27T16:59:48-0800 lvl=info msg="join connections" obj=join id=3bb833312ea5 l=[::1]:3000 r=54.210.143.156:17106
t=2019-11-27T17:02:03-0800 lvl=info msg="join connections" obj=join id=c1d6912631d2 l=[::1]:3000 r=100.26.104.3:49088
t=2019-11-27T17:02:24-0800 lvl=info msg="join connections" obj=join id=b28faf297ed4 l=[::1]:3000 r=52.4.92.79:39698
t=2019-11-27T17:58:41-0800 lvl=info msg="join connections" obj=join id=4de56675db4c l=[::1]:3000 r=174.129.62.2:34226
t=2019-11-27T18:07:53-0800 lvl=info msg="join connections" obj=join id=2b0cee93fee2 l=[::1]:3000 r=54.210.143.156:60842
t=2019-11-27T18:08:04-0800 lvl=info msg="join connections" obj=join id=a6f66b5465f9 l=[::1]:3000 r=54.226.214.16:51420
t=2019-11-28T00:04:50-0800 lvl=info msg="join connections" obj=join id=b4b4a4d3849f l=[::1]:3000 r=3.208.29.62:44356
t=2019-11-28T05:28:19-0800 lvl=info msg="join connections" obj=join id=28b623ff062c l=[::1]:3000 r=54.236.20.156:65184
t=2019-11-28T05:43:48-0800 lvl=info msg="join connections" obj=join id=9bbc976d0c2c l=[::1]:3000 r=54.80.213.0:55390
